Marca,Modelo,Año,Color,Combustible,Puertas,Caja,Motor,Carrocería,Kilómetros,Precio,Moneda,Año_zscore
Ford,Ecosport,2020,Blanco,Nafta,5,Automática,1.5,SUV,39000,4989900,pesos,1.0085541988516493
Ford,Fiesta Kinetic Design,2013,Gris,Nafta,5,Manual,1.6,Hatchback,79000,2649900,pesos,-0.882147298727807
Volkswagen,Passat,2017,Blanco,Nafta,4,Automática,2.0,Sedán,59000,8459900,pesos,0.19825355703188235
Fiat,Palio,2015,Negro,Nafta/GNC,5,Manual,1.4,Hatchback,64000,2350000,pesos,-0.3419468708479623
Hyundai,Santa Fe,2017,Gris,Nafta,5,Manual,2.4,SUV,90000,7890000,pesos,0.19825355703188235
Jeep,Renegade,2018,Rojo,Nafta,5,Automática,1.8,SUV,57000,5990000,pesos,0.4683537709718047
BMW,Serie 1,2010,Plateado,Nafta,3,Manual,2.0,Hatchback,125000,12500,dólares,-1.692447940547574
Toyota,Corolla,2018,Gris,Nafta,4,Automática,1.8,Sedán,16500,6300000,pesos,0.4683537709718047
Volkswagen,Amarok,2017,Blanco,Diésel,2,Manual,2.0,Pick-Up,115000,7489000,pesos,0.19825355703188235
Citroën,C4 Cactus,2018,Violeta,Nafta,5,Automática,1.2,SUV,46000,4400000,pesos,0.4683537709718047
Renault,Sandero,2019,Negro,Nafta,5,Manual,1.6,Hatchback,58000,2510000,pesos,0.7384539849117271
Ford,Territory,2021,Blanco,Nafta,5,Automática,1.5,SUV,15000,9300000,pesos,1.2786544127915718
Chevrolet,Onix,2017,Rojo,Nafta/GNC,5,Manual,1.4,Hatchback,60000,3499900,pesos,0.19825355703188235
Volkswagen,Voyage,2018,Azul,Nafta,4,Manual,1.6,Sedán,38000,2900000,pesos,0.4683537709718047
Toyota,Yaris,2020,Blanco,Nafta,5,Manual,1.5,Hatchback,12000,5900000,pesos,1.0085541988516493
Volkswagen,Gol Trend,2017,Blanco,Nafta,5,Manual,1.6,Hatchback,39000,3459900,pesos,0.19825355703188235
Renault,Duster,2016,Blanco,Nafta,5,Manual,1.6,SUV,76000,3600000,pesos,-0.07184665690803997
Peugeot,208,2017,Gris,Nafta,5,Manual,1.6,Hatchback,58000,3799000,pesos,0.19825355703188235
Renault,Duster,2015,Negro,Nafta/GNC,5,Manual,2.0,SUV,89400,4250000,pesos,-0.3419468708479623
Ford,Fiesta Kinetic Design,2015,Negro,Nafta,5,Manual,1.6,Hatchback,89800,2880000,pesos,-0.3419468708479623
Honda,Fit,2011,Negro,Nafta,5,Manual,1.4,Hatchback,137000,2200000,pesos,-1.4223477266076516
